h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
h: 0.000000, Liczba procesów: 10, Czas: 0.000496 sekund
h: 0.000000, Liczba procesów: 1, Czas: 0.000090 sekund
